Navn;Land;Rang;Position;Pris;Markedsværdi (EUR);Værdi-indeks;Popularitet;Ude af spil;Program R1-3;Runde 1;Runde 2;Runde 3;Runde 4;Runde 5;Runde 6;Runde 7;Runde 8
Issa Diop;Marokko;11;Forsvar;2500000;8000000;3.2;0.0038500167392032138;Nej;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Anass Salah-Eddine;Marokko;11;Forsvar;2500000;12000000;4.8;0.0012461406837034558;Nej;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Mamadou Sarr;Senegal;13;Forsvar;2500000;22000000;8.8;0.0007997619313320686;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Antoine Mendy;Senegal;13;Forsvar;2500000;10000000;4.0;0.0010322508648588327;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Kalidou Koulibaly;Senegal;13;Forsvar;2500000;4500000;1.8;0.0020552021723765947;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Ismail Jakobs;Senegal;13;Forsvar;2500000;8000000;3.2;0.00033478406427854036;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Mohamed Amine Ben Hamida;Tunesien;35;Forsvar;2500000;1000000;0.4;0.00020459026150355242;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Dylan Bronn;Tunesien;35;Forsvar;2500000;600000;0.24;0.0003440836216196109;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Yassine Meriah;Tunesien;35;Forsvar;2500000;1500000;0.6;0;Ja;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Yan Valery;Tunesien;35;Forsvar;2500000;1500000;0.6;0.00013949336011605847;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Ali Majrashi;Saudi-Arabien;41;Forsvar;2500000;1400000;0.56;0.00010229513075177621;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Nawaf Bu Washl;Saudi-Arabien;41;Forsvar;2500000;1400000;0.56;0.00012089424543391734;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Abdulelah Al-Amri;Saudi-Arabien;41;Forsvar;2500000;1400000;0.56;0.00024178849086783468;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Mohammed Abu Al-Shamat;Saudi-Arabien;41;Forsvar;2500000;1800000;0.72;7.439645872856452e-05;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Lucas Mendes;Qatar;47;Forsvar;2500000;350000;0.14;0.00014879291745712903;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Boualem Khoukhi;Qatar;47;Forsvar;2500000;200000;0.08;0;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Pedro 'Ro-Ro' Miguel Correia;Qatar;47;Forsvar;2500000;150000;0.06;4.6497786705352825e-05;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Sultan Al-Brake;Qatar;47;Forsvar;2500000;300000;0.12;9.299557341070565e-06;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Tarek Salman;Qatar;47;Forsvar;2500000;600000;0.24;9.299557341070565e-06;Ja;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Homam Al-Amin Ahmed;Qatar;47;Forsvar;2500000;500000;0.2;2.7898672023211696e-05;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Ayoub Al-Oui;Qatar;47;Forsvar;2500000;375000;0.15;0.00013019380277498792;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
John Souttar;Skotland;29;Forsvar;2500000;2000000;0.8;0.0010136517501766916;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Scott McKenna;Skotland;29;Forsvar;2500000;4000000;1.6;0.0019715061563069596;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Aaron Hickey;Skotland;29;Forsvar;2500000;16000000;6.4;0.006723579957594018;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Grant Hanley;Skotland;29;Forsvar;2500000;200000;0.08;0.0015344269612766433;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Anthony Ralston;Skotland;29;Forsvar;2500000;1500000;0.6;0.001050849979540974;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Kieran Tierney;Skotland;29;Forsvar;2500000;8000000;3.2;0.0035431313469478855;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Moïse Bombito;Canada;28;Forsvar;2500000;7000000;2.8;0.00047427742439459884;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Kamal Miller;Canada;28;Forsvar;2500000;2800000;1.12;0;Ja;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Derek Cornelius;Canada;28;Forsvar;2500000;2500000;1.0;0.0024271844660194173;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Joel Waterman;Canada;28;Forsvar;2500000;2000000;0.8;0.00024178849086783468;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Jakhongir Urozov;Usbekistan;36;Forsvar;2500000;600000;0.24;4.6497786705352825e-05;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Mukhammadkodir Khamraliev;Usbekistan;36;Forsvar;2500000;600000;0.24;0;Ja;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Umar Eshmurodov;Usbekistan;36;Forsvar;2500000;450000;0.18;3.719822936428226e-05;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Rustam Ashurmatov;Usbekistan;36;Forsvar;2500000;750000;0.3;3.719822936428226e-05;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Farrukh Sayfiev;Usbekistan;36;Forsvar;2500000;225000;0.09;0.00012089424543391734;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Khozhiakbar Alizhonov;Usbekistan;36;Forsvar;2500000;1300000;0.52;4.6497786705352825e-05;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Sherzod Nasrullaev;Usbekistan;36;Forsvar;2500000;1200000;0.48;4.6497786705352825e-05;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Ehsan Haddad;Jordan;48;Forsvar;2500000;300000;0.12;5.579734404642339e-05;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Ahmad Assaf;Jordan;48;Forsvar;2500000;25000;0.01;0;Ja;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Yazan Al-Arab;Jordan;48;Forsvar;2500000;1000000;0.4;9.299557341070565e-05;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Abdallah Nasib;Jordan;48;Forsvar;2500000;400000;0.16;0.0006881672432392218;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Mohammad Abualnadi;Jordan;48;Forsvar;2500000;350000;0.14;9.299557341070565e-05;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Saleem Obaid;Jordan;48;Forsvar;2500000;100000;0.04;7.439645872856452e-05;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Wagner Pina;Kap Verde;38;Forsvar;2500000;11000000;4.4;0.0001580924747981996;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Heri Tavares;Kap Verde;38;Forsvar;2500000;400000;0.16;0;Ja;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Joao Paulo;Kap Verde;38;Forsvar;2500000;900000;0.36;7.439645872856452e-05;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Logan Costa;Kap Verde;38;Forsvar;2500000;15000000;6.0;0.00013019380277498792;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Stopira;Kap Verde;38;Forsvar;2500000;50000;0.02;6.509690138749396e-05;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Leo Østigård;Norge;10;Forsvar;2500000;13000000;5.2;0.006165606517129785;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Fredrik Andre Bjørkan;Norge;10;Forsvar;2500000;3500000;1.4;0.002817765874344381;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Torbjørn Heggem;Norge;10;Forsvar;2500000;13000000;5.2;0.033803890934791504;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Jurien Gaari;Curaçao;45;Forsvar;2500000;350000;0.14;0.00013019380277498792;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Sherel Floranus;Curaçao;45;Forsvar;2500000;800000;0.32;9.299557341070565e-05;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Joshua Brenet;Curaçao;45;Forsvar;2500000;1000000;0.4;0.00019529070416248186;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Roshon van Eijma;Curaçao;45;Forsvar;2500000;375000;0.15;6.509690138749396e-05;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Livano Comenencia;Curaçao;45;Forsvar;2500000;500000;0.2;1.859911468214113e-05;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Jean-Kevin Duverne;Haiti;39;Forsvar;2500000;2000000;0.8;1.859911468214113e-05;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Ricardo Ade;Haiti;39;Forsvar;2500000;300000;0.12;4.6497786705352825e-05;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Duke Lacroix;Haiti;39;Forsvar;2500000;125000;0.05;0.00026038760554997583;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Hannes Delcroix;Haiti;39;Forsvar;2500000;2000000;0.8;0.00010229513075177621;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Dylan Batubinsika;Congo DR;32;Forsvar;2500000;600000;0.24;0.00012089424543391734;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Jeremy Ngakia;Congo DR;32;Forsvar;2500000;1500000;0.6;0;Ja;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Chancel Mbemba;Congo DR;32;Forsvar;2500000;2000000;0.8;0.00045567830971245766;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Arthur Masuaku;Congo DR;32;Forsvar;2500000;2000000;0.8;0.000362682736301752;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Gedeon Kalulu;Congo DR;32;Forsvar;2500000;1000000;0.4;0.00012089424543391734;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Joris Kayembe;Congo DR;32;Forsvar;2500000;2000000;0.8;9.299557341070565e-05;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Timothy Fayulu;Congo DR;32;Keeper;2500000;800000;0.32;0.0001580924747981996;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Lionel Mpasi Nzau;Congo DR;32;Keeper;2500000;400000;0.16;0.0003812818509838932;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Tyrick Bodak;Curaçao;45;Keeper;2500000;25000;0.01;0.00016739203213927018;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Trevor Doornbusch;Curaçao;45;Keeper;2500000;50000;0.02;0.00011159468809284678;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Johny Placide;Haiti;39;Keeper;2500000;150000;0.06;0.00013949336011605847;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Alexandre Pierre;Haiti;39;Keeper;2500000;700000;0.28;0.00011159468809284678;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Josue Duverger;Haiti;39;Keeper;2500000;50000;0.02;5.579734404642339e-05;Nej;2.7;Skotland 14/6;Brasilien 20/6;Marokko 24/6;;;;;
Eloy Room;Curaçao;45;Keeper;2500000;150000;0.06;0.0001580924747981996;Nej;2.7;Tyskland 14/6;Ecuador 21/6;Elfenbenskysten 25/6;;;;;
Viljar Myhra;Norge;10;Keeper;2500000;800000;0.32;9.299557341070565e-06;Ja;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
CJ Dos Santos;Kap Verde;38;Keeper;2500000;1000000;0.4;0.00016739203213927018;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Bruno Varela;Kap Verde;38;Keeper;2500000;4000000;1.6;0;Ja;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Marcio Rosa;Kap Verde;38;Keeper;2500000;350000;0.14;4.6497786705352825e-05;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Vozinha;Kap Verde;38;Keeper;2500000;50000;0.02;0.00047427742439459884;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Abdallah Al-Fakhouri;Jordan;48;Keeper;2500000;250000;0.1;0.0017204181080980546;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Abdel Rahman Al-Talalga;Jordan;48;Keeper;2500000;25000;0.01;0;Ja;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Yazeed Abulaila;Jordan;48;Keeper;2500000;300000;0.12;0.0013112375850909497;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Noureddin Bani Attiah;Jordan;48;Keeper;2500000;;;4.6497786705352825e-05;Nej;2.3;Østrig 17/6;Algeriet 23/6;Argentina 28/6;;;;;
Utkir Yusupov;Usbekistan;36;Keeper;2500000;500000;0.2;0.00025108804820890524;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Abduvokhid Nematov;Usbekistan;36;Keeper;2500000;1500000;0.6;0.00045567830971245766;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Botirali Ergashev;Usbekistan;36;Keeper;2500000;500000;0.2;0.00012089424543391734;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Owen Goodman;Canada;28;Keeper;2500000;550000;0.22;0.0007160659152624335;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Craig Gordon;Skotland;29;Keeper;2500000;50000;0.02;0.002287691105903359;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Scott Bain;Skotland;29;Keeper;2500000;200000;0.08;9.299557341070565e-06;Ja;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Mahmoud Abunada;Qatar;47;Keeper;2500000;400000;0.16;0.00012089424543391734;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Shehab Ellethy;Qatar;47;Keeper;2500000;250000;0.1;0;Ja;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Meshaal Barsham;Qatar;47;Keeper;2500000;700000;0.28;0.00012089424543391734;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Salah Zakaria;Qatar;47;Keeper;2500000;400000;0.16;0.00011159468809284678;Nej;2.0;Schweiz 13/6;Canada 18/6;Bosnien-Hercegovina 24/6;;;;;
Nawaf Al-Aqidi;Saudi-Arabien;41;Keeper;2500000;650000;0.26;0.00013019380277498792;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Ahmed Al-Kassar;Saudi-Arabien;41;Keeper;2500000;175000;0.07;0.00022318937618569356;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Abdulrahman Al-Sanbi;Saudi-Arabien;41;Keeper;2500000;200000;0.08;0;Ja;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Mohammed Al-Rubaie Al-Yami;Saudi-Arabien;41;Keeper;2500000;450000;0.18;0;Ja;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Noureddine Farhati;Tunesien;35;Keeper;2500000;300000;0.12;0;Ja;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Abdelmouhib Chamakh;Tunesien;35;Keeper;2500000;800000;0.32;0.0006509690138749395;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Sabri Ben Hessen;Tunesien;35;Keeper;2500000;550000;0.22;0.00014879291745712903;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
El Mehdi Al Harrar;Marokko;11;Keeper;2500000;200000;0.08;3.719822936428226e-05;Ja;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Ahmed Reda Tagnaouti;Marokko;11;Keeper;2500000;1000000;0.4;0.0016553212067105605;Nej;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Mohamed Alaa;Egypten;34;Keeper;2500000;1200000;0.48;0.0001859911468214113;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
El Mahdi Soliman;Egypten;34;Keeper;2500000;150000;0.06;0.00017669158948034074;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
Mostafa Oufa Shobeir;Egypten;34;Keeper;2500000;1200000;0.48;0.0012089424543391734;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
Kumel Al-Rekabe;Irak;46;Keeper;2500000;150000;0.06;0;Ja;3.0;Norge 16/6;Frankrig 22/6;Senegal 26/6;;;;;
Luis Mejia;Panama;42;Keeper;2500000;150000;0.06;6.509690138749396e-05;Nej;2.7;Ghana 17/6;Kroatien 23/6;England 27/6;;;;;
Cesar Samudio;Panama;42;Keeper;2500000;250000;0.1;0.0001580924747981996;Nej;2.7;Ghana 17/6;Kroatien 23/6;England 27/6;;;;;
Orlando Mosquera;Panama;42;Keeper;2500000;700000;0.28;0.0005114756537588811;Nej;2.7;Ghana 17/6;Kroatien 23/6;England 27/6;;;;;
Fahad Talib;Irak;46;Keeper;2500000;375000;0.15;5.579734404642339e-05;Nej;3.0;Norge 16/6;Frankrig 22/6;Senegal 26/6;;;;;
Jalal Hassan;Irak;46;Keeper;2500000;250000;0.1;0.00011159468809284678;Nej;3.0;Norge 16/6;Frankrig 22/6;Senegal 26/6;;;;;
Ahmed Basil Fadhil;Irak;46;Keeper;2500000;450000;0.18;0.0003905814083249637;Nej;3.0;Norge 16/6;Frankrig 22/6;Senegal 26/6;;;;;
Seyed Hossein Hosseini;Iran;44;Keeper;2500000;500000;0.2;0.00020459026150355242;Nej;1.7;New Zealand 16/6;Belgien 21/6;Egypten 27/6;;;;;
Mohammad Khalife;Iran;44;Keeper;2500000;300000;0.12;0;Ja;1.7;New Zealand 16/6;Belgien 21/6;Egypten 27/6;;;;;
Payam Niazmand;Iran;44;Keeper;2500000;700000;0.28;0.00025108804820890524;Nej;1.7;New Zealand 16/6;Belgien 21/6;Egypten 27/6;;;;;
Mladen Jurkas;Bosnien-Hercegovina;31;Keeper;2500000;700000;0.28;0.00017669158948034074;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Martin Zlomislic;Bosnien-Hercegovina;31;Keeper;2500000;2000000;0.8;0.00016739203213927018;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Osman Hadzikic;Bosnien-Hercegovina;31;Keeper;2500000;500000;0.2;0;Ja;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
David Cabezas;Ecuador;20;Keeper;2500000;800000;0.32;0;Ja;2.3;Elfenbenskysten 14/6;Curaçao 21/6;Tyskland 25/6;;;;;
Moises Ramirez;Ecuador;20;Keeper;2500000;800000;0.32;0.00048357698173566937;Nej;2.3;Elfenbenskysten 14/6;Curaçao 21/6;Tyskland 25/6;;;;;
Chris Brady;USA;17;Keeper;2500000;2500000;1.0;0.001580924747981996;Nej;2.0;Paraguay 13/6;Australien 19/6;Tyrkiet 26/6;;;;;
Patrick Schulte;USA;17;Keeper;2500000;3500000;1.4;3.719822936428226e-05;Ja;2.0;Paraguay 13/6;Australien 19/6;Tyrkiet 26/6;;;;;
Ricardo Goss;Sydafrika;40;Keeper;2500000;350000;0.14;0.0003161849495963992;Nej;1.7;Mexico 11/6;Tjekkiet 18/6;Sydkorea 25/6;;;;;
Sipho Chaine;Sydafrika;40;Keeper;2500000;1600000;0.64;0.0003719822936428226;Nej;1.7;Mexico 11/6;Tjekkiet 18/6;Sydkorea 25/6;;;;;
Juan Espinola;Paraguay;30;Keeper;2500000;800000;0.32;0;Ja;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Carlos Miguel Coronel;Paraguay;30;Keeper;2500000;1500000;0.6;0;Ja;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Alex Paulsen;New Zealand;43;Keeper;2500000;500000;0.2;0.00040918052300710484;Nej;1.7;Iran 16/6;Egypten 22/6;Belgien 27/6;;;;;
Michael Woud;New Zealand;43;Keeper;2500000;400000;0.16;0.00012089424543391734;Nej;1.7;Iran 16/6;Egypten 22/6;Belgien 27/6;;;;;
Max Crocombe;New Zealand;43;Keeper;2500000;1000000;0.4;0.00029758583491425807;Nej;1.7;Iran 16/6;Egypten 22/6;Belgien 27/6;;;;;
Bum-Keun Song;Sydkorea;33;Keeper;2500000;1000000;0.4;0.0006230703418517279;Nej;1.7;Tjekkiet 12/6;Mexico 19/6;Sydafrika 25/6;;;;;
Solomon Agbasi;Ghana;25;Keeper;2500000;25000;0.01;0;Ja;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Paul Reverson;Ghana;25;Keeper;2500000;350000;0.14;0;Ja;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Joseph Anang;Ghana;25;Keeper;2500000;350000;0.14;0.00026038760554997583;Nej;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Alban Lafont;Elfenbenskysten;12;Keeper;2500000;3000000;1.2;0.0021481977457873005;Nej;2.0;Ecuador 14/6;Tyskland 20/6;Curaçao 25/6;;;;;
Paul Izzo;Australien;37;Keeper;2500000;500000;0.2;0.0005579734404642339;Nej;2.3;Tyrkiet 14/6;USA 19/6;Paraguay 26/6;;;;;
Patrick Beach;Australien;37;Keeper;2500000;1000000;0.4;0.00024178849086783468;Nej;2.3;Tyrkiet 14/6;USA 19/6;Paraguay 26/6;;;;;
Oussama Benbout;Algeriet;23;Keeper;2500000;850000;0.34;0.00013949336011605847;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Melvin Feycal Mastil;Algeriet;23;Keeper;2500000;250000;0.1;0.00012089424543391734;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Ivor Pandur;Kroatien;16;Keeper;2500000;4500000;1.8;0.0012740393557266673;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Florian Wiegele;Østrig;24;Keeper;2500000;2200000;0.88;0.0005858721124874456;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Nikolas Polster;Østrig;24;Keeper;2500000;1000000;0.4;0;Ja;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Jindrich Stanek;Tjekkiet;27;Keeper;2500000;2000000;0.8;0.0005021760964178105;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Martin Jedlicka;Tjekkiet;27;Keeper;2500000;2800000;1.12;9.299557341070565e-06;Ja;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Lukas Hornicek;Tjekkiet;27;Keeper;2500000;18000000;7.2;0.0004184800803481754;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Vincent Sierro;Schweiz;18;Midtbane;2500000;4000000;1.6;0;Ja;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Michel Aebischer;Schweiz;18;Midtbane;2500000;4000000;1.6;0.006323698991927984;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Alvyn Sanches;Schweiz;18;Midtbane;2500000;9000000;3.6;9.299557341070565e-06;Ja;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Adam Karabec;Tjekkiet;27;Midtbane;2500000;3000000;1.2;5.579734404642339e-05;Ja;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Michal Sadilek;Tjekkiet;27;Midtbane;2500000;8000000;3.2;0.0001859911468214113;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Samu Costa;Portugal;5;Midtbane;2500000;15000000;6.0;0.003719822936428226;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Ismail Yüksek;Tyrkiet;15;Midtbane;2500000;15000000;6.0;0.0010415504221999033;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Alessandro Schöpf;Østrig;24;Midtbane;2500000;800000;0.32;0.0010229513075177621;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Paul Wanner;Østrig;24;Midtbane;2500000;22000000;8.8;0.0005393743257820927;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Nicolas Seiwald;Østrig;24;Midtbane;2500000;25000000;10.0;0.0011159468809284678;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Carney Chukwuemeka;Østrig;24;Midtbane;2500000;20000000;8.0;0.0010229513075177621;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Xaver Schlager;Østrig;24;Midtbane;2500000;10000000;4.0;0.0011531451102927501;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Florian Grillitsch;Østrig;24;Midtbane;2500000;2500000;1.0;0.0005765725551463751;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Nikola Moro;Kroatien;16;Midtbane;2500000;7000000;2.8;0.00029758583491425807;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Lovro Majer;Kroatien;16;Midtbane;2500000;20000000;8.0;0;Ja;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
