Navn;Land;Rang;Position;Pris;Markedsværdi (EUR);Værdi-indeks;Popularitet;Ude af spil;Program R1-3;Runde 1;Runde 2;Runde 3;Runde 4;Runde 5;Runde 6;Runde 7;Runde 8
Bart Verbruggen;Holland;7;Keeper;4500000;40000000;8.89;0.01699029126213592;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Brice Samba;Frankrig;1;Keeper;4500000;7000000;1.56;0.0009485548487891977;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Alexander Nübel;Tyskland;4;Keeper;4500000;12000000;2.67;0.0012368411263623852;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Jose Sa;Portugal;5;Keeper;4500000;3500000;0.78;0.0029479596771193693;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
João Palhinha;Portugal;5;Midtbane;4500000;40000000;8.89;0;Ja;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Matheus Nunes;Portugal;5;Midtbane;4500000;50000000;11.11;0.004519584867760294;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Kerem Akturkoglu;Tyrkiet;15;Midtbane;4500000;20000000;4.44;0.007169958709965406;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Arda Güler;Tyrkiet;15;Midtbane;4500000;90000000;20.0;0.10828404567942566;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Marcel Sabitzer;Østrig;24;Midtbane;4500000;6000000;1.33;0.04642339024662426;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Leon Goretzka;Tyskland;4;Midtbane;4500000;12000000;2.67;0.010871182531711491;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Anton Stach;Tyskland;4;Midtbane;4500000;28000000;6.22;0;Ja;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Mikel Merino;Spanien;3;Midtbane;4500000;25000000;5.56;0.018180634601792953;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Fabian Ruiz;Spanien;3;Midtbane;4500000;30000000;6.67;0.09413011940631626;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Rodrigo de Paul;Argentina;8;Midtbane;4500000;14000000;3.11;0.009634341405349106;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Alexis Mac Allister;Argentina;8;Midtbane;4500000;70000000;15.56;0.05334226090838076;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Casemiro;Brasilien;6;Midtbane;4500000;6000000;1.33;0.038435070490644645;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Bruno Guimaraes;Brasilien;6;Midtbane;4500000;70000000;15.56;0.0372168284789644;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Declan Rice;England;2;Midtbane;4500000;120000000;26.67;0.08961053453855597;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Scott McTominay;Skotland;29;Midtbane;4500000;40000000;8.89;0.11264553807238775;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Martin Ødegaard;Norge;10;Midtbane;4500000;65000000;14.44;0.0757634936577019;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Alexander Sørloth;Norge;10;Angreb;4500000;18000000;4.0;0.02630844771788863;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Jonathan David;Canada;28;Angreb;4500000;30000000;6.67;0.007281553398058253;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
